University_Name,Full_Name
Troy University,Troy University
Univ Of Al Huntsville,University of Alabama Huntsville
Univ Of Alabama,University of Alabama
Univ Of North Al,University of North Alabama
Az State Univ,Arizona State University
Univ Of Ar Little Rock,University of Arkansas Little Rock
Univ Of Ar Med Science,University of Arkansas Med Science
Univ Of Ar,University of Arkansas
Ca State Univ San L Obispo,California State University San Luis Obispo
Adams State University,Adams State University
Univ Of N Co,University of North Colorado
Eastern Ct State Univ,Eastern Connecticut State University
Florida International Univ,Florida International University
Univ Of South Fl Tampa,University of South Florida Tampa
Kennesaw State Univ,Kennesaw State University
Univ Of West Georgia,University of West Georgia
Valdosta State Univ,Valdosta State University
Il State University,Illinois State University
Purdue Univ Fort Wayne,Purdue University Fort Wayne
Purdue University,Purdue University
Fort Hays State Univ,Fort Hays State University
Univ Of Kentucky,University of Kentucky
Univ Of Louisville,University of Louisville
Northwestern State Univ,Northwestern State University
Southeastern La Univ,Southeastern Louisiana University
Univ Of Me At Farmington,University of Maine at Farmington
Univ Of Me,University of Maine
Morgan State Univ,Morgan State University
Univ Of Md Eastern Shore,University of Maryland Eastern Shore
Univ Of Ma Amherst,University of Massachusetts Amherst
Mi State University,Michigan State University
Saginaw Valley State Univ,Saginaw Valley State University
Univ Of Mi,University of Michigan
Western Mi University,Western Michigan University
Lincoln University,Lincoln University
Nm State University,New Mexico State University
Univ Of Nd,University of North Dakota
Central State Univ,Central State University
Mount St. Joseph Univ.,Mount St. Joseph University.
Oh State Univ,Ohio State University
Univ Of Akron,University of Akron
Univ Of Cincinnati,University of Cincinnati
Youngstown State Univ Acad,Youngstown State University
Mid-America Christian Univ,Mid-America Christian University
Univ Of Ok Health Sciences,University of Oklahoma Health Sciences
Clemson University,Clemson University
Medical Univ Of Sc,Medical University of South Carolina
Sc State Univ,South Carolina State University
Univ Of Sc Upstate,University of South Carolina Upstate
Univ. Of S. Carolina Aiken,University of South Carolina Aiken
Angelo State Univ,Angelo State University
Tarleton State Univ,Tarleton State University
Tx Southern University,Texas Southern University
Univ Of Texas System,University of Texas System
Old Dominion University,Old Dominion University
Univ Of Va,University of Virgina
Central Washington Univ,Central Washington University
Univ Of Wi La Crosse,University of Wisconsin La Crosse
Univ Of Wi Platteville,University of Wisconsin Platteville